,PassengerId,predict,,PassengerId,Survived,,,,total count,accuracy
66,958,1,,958,1,TRUE,,,,
67,959,0,,959,0,TRUE,,,,
68,960,1,,960,0,FALSE,,,,
69,961,1,,961,1,TRUE,,,,
70,962,1,,962,1,TRUE,,,,
71,963,0,,963,0,TRUE,,,,
72,964,1,,964,1,TRUE,,,,
73,965,1,,965,0,FALSE,,,,
74,966,1,,966,1,TRUE,,,,
75,967,1,,967,0,FALSE,,,,
76,968,0,,968,0,TRUE,,,,
77,969,1,,969,1,TRUE,,,,
78,970,0,,970,0,TRUE,,,,
79,971,1,,971,1,TRUE,,,,
80,972,0,,972,0,TRUE,,,,
81,973,0,,973,0,TRUE,,,,
82,974,0,,974,0,TRUE,,,,
83,975,0,,975,0,TRUE,,,,
84,976,0,,976,0,TRUE,,,,
85,977,0,,977,0,TRUE,,,,
86,978,1,,978,1,TRUE,,,,
87,979,1,,979,1,TRUE,,,,
88,980,1,,980,1,TRUE,,,,
89,981,0,,981,0,TRUE,,,,
90,982,1,,982,1,TRUE,,,,
91,983,0,,983,0,TRUE,,,,
92,984,1,,984,1,TRUE,,,,
93,985,0,,985,0,TRUE,,,,
94,986,1,,986,0,FALSE,,,,
95,987,0,,987,0,TRUE,,,,
96,988,1,,988,1,TRUE,,,,
97,989,0,,989,0,TRUE,,,,
98,990,1,,990,1,TRUE,,,,
99,991,0,,991,0,TRUE,,,,
100,992,1,,992,1,TRUE,,,,
101,993,0,,993,0,TRUE,,,,
102,994,0,,994,0,TRUE,,,,
103,995,0,,995,0,TRUE,,,,
104,996,1,,996,1,TRUE,,,,
105,997,0,,997,0,TRUE,,,,
106,998,0,,998,0,TRUE,,,,
107,999,0,,999,0,TRUE,,,,
108,1000,0,,1000,0,TRUE,,,,
109,1001,0,,1001,0,TRUE,,,,
110,1002,0,,1002,0,TRUE,,,,
111,1003,1,,1003,1,TRUE,,,,
112,1004,1,,1004,1,TRUE,,,,
113,1005,1,,1005,1,TRUE,,,,
114,1006,1,,1006,1,TRUE,,,,
115,1007,0,,1007,0,TRUE,,,,
116,1008,0,,1008,0,TRUE,,,,
117,1009,1,,1009,1,TRUE,,,,
118,1010,1,,1010,0,FALSE,,,,
119,1011,1,,1011,1,TRUE,,,,
120,1012,1,,1012,1,TRUE,,,,
121,1013,0,,1013,0,TRUE,,,,
122,1014,1,,1014,1,TRUE,,,,
123,1015,0,,1015,0,TRUE,,,,
124,1016,0,,1016,0,TRUE,,,,
125,1017,1,,1017,1,TRUE,,,,
126,1018,0,,1018,0,TRUE,,,,
127,1019,1,,1019,1,TRUE,,,,
128,1020,0,,1020,0,TRUE,,,,
129,1021,0,,1021,0,TRUE,,,,
130,1022,0,,1022,0,TRUE,,,,
131,1023,0,,1023,0,TRUE,,,,
132,1024,0,,1024,1,FALSE,,,,
133,1025,0,,1025,0,TRUE,,,,
134,1026,0,,1026,0,TRUE,,,,
135,1027,0,,1027,0,TRUE,,,,
136,1028,0,,1028,0,TRUE,,,,
137,1029,0,,1029,0,TRUE,,,,
138,1030,1,,1030,1,TRUE,,,,
139,1031,0,,1031,0,TRUE,,,,
140,1032,0,,1032,1,FALSE,,,,
141,1033,1,,1033,1,TRUE,,,,
142,1034,0,,1034,0,TRUE,,,,
143,1035,0,,1035,0,TRUE,,,,
144,1036,0,,1036,0,TRUE,,,,
145,1037,0,,1037,0,TRUE,,,,
146,1038,0,,1038,0,TRUE,,,,
147,1039,0,,1039,0,TRUE,,,,
148,1040,0,,1040,0,TRUE,,,,
149,1041,0,,1041,0,TRUE,,,,
150,1042,1,,1042,1,TRUE,,,,
151,1043,0,,1043,0,TRUE,,,,
152,1044,0,,1044,0,TRUE,,,,
153,1045,0,,1045,1,FALSE,,,,
154,1046,0,,1046,0,TRUE,,,,
155,1047,0,,1047,0,TRUE,,,,
156,1048,1,,1048,1,TRUE,,,,
157,1049,1,,1049,1,TRUE,,,,
158,1050,0,,1050,0,TRUE,,,,
159,1051,1,,1051,1,TRUE,,,,
160,1052,1,,1052,1,TRUE,,,,
161,1053,0,,1053,0,TRUE,,,,
162,1054,1,,1054,1,TRUE,,,,
163,1055,0,,1055,0,TRUE,,,,
164,1056,0,,1056,0,TRUE,,,,
165,1057,0,,1057,1,FALSE,,,,
166,1058,0,,1058,0,TRUE,,,,
167,1059,0,,1059,0,TRUE,,,,
168,1060,1,,1060,1,TRUE,,,,
169,1061,1,,1061,1,TRUE,,,,
170,1062,0,,1062,0,TRUE,,,,
171,1063,0,,1063,0,TRUE,,,,
172,1064,0,,1064,0,TRUE,,,,
173,1065,0,,1065,0,TRUE,,,,
174,1066,0,,1066,0,TRUE,,,,
175,1067,1,,1067,1,TRUE,,,,
176,1068,1,,1068,1,TRUE,,,,
177,1069,0,,1069,0,TRUE,,,,
178,1070,1,,1070,1,TRUE,,,,
179,1071,1,,1071,1,TRUE,,,,
180,1072,0,,1072,0,TRUE,,,,
181,1073,0,,1073,0,TRUE,,,,
182,1074,1,,1074,1,TRUE,,,,
183,1075,0,,1075,0,TRUE,,,,
184,1076,1,,1076,1,TRUE,,,,
185,1077,0,,1077,0,TRUE,,,,
186,1078,1,,1078,1,TRUE,,,,
187,1079,0,,1079,0,TRUE,,,,
188,1080,0,,1080,1,FALSE,,,,
189,1081,0,,1081,0,TRUE,,,,
190,1082,0,,1082,0,TRUE,,,,
191,1083,0,,1083,0,TRUE,,,,
192,1084,0,,1084,0,TRUE,,,,
193,1085,0,,1085,0,TRUE,,,,
194,1086,0,,1086,0,TRUE,,,,
195,1087,0,,1087,0,TRUE,,,,
196,1088,1,,1088,0,FALSE,,,,
197,1089,1,,1089,1,TRUE,,,,
198,1090,0,,1090,0,TRUE,,,,
199,1091,1,,1091,1,TRUE,,,,
200,1092,1,,1092,1,TRUE,,,,
201,1093,0,,1093,0,TRUE,,,,
202,1094,0,,1094,0,TRUE,,,,
203,1095,1,,1095,1,TRUE,,,,
204,1096,0,,1096,0,TRUE,,,,
205,1097,1,,1097,0,FALSE,,,,
206,1098,1,,1098,1,TRUE,,,,
207,1099,0,,1099,0,TRUE,,,,
208,1100,1,,1100,1,TRUE,,,,
209,1101,0,,1101,0,TRUE,,,,
210,1102,0,,1102,0,TRUE,,,,
211,1103,0,,1103,0,TRUE,,,,
212,1104,0,,1104,0,TRUE,,,,
213,1105,0,,1105,1,FALSE,,,,
214,1106,0,,1106,1,FALSE,,,,
215,1107,0,,1107,0,TRUE,,,,
216,1108,1,,1108,1,TRUE,,,,
217,1109,0,,1109,0,TRUE,,,,
218,1110,1,,1110,1,TRUE,,,,
219,1111,0,,1111,0,TRUE,,,,
220,1112,1,,1112,1,TRUE,,,,
221,1113,0,,1113,0,TRUE,,,,
222,1114,1,,1114,1,TRUE,,,,
223,1115,0,,1115,0,TRUE,,,,
224,1116,1,,1116,1,TRUE,,,,
225,1117,1,,1117,1,TRUE,,,,
226,1118,0,,1118,0,TRUE,,,,
227,1119,1,,1119,1,TRUE,,,,
228,1120,0,,1120,0,TRUE,,,,
229,1121,0,,1121,0,TRUE,,,,
230,1122,0,,1122,0,TRUE,,,,
231,1123,1,,1123,1,TRUE,,,,
232,1124,0,,1124,0,TRUE,,,,
233,1125,0,,1125,0,TRUE,,,,
234,1126,0,,1126,0,TRUE,,,,
235,1127,0,,1127,0,TRUE,,,,
236,1128,0,,1128,0,TRUE,,,,
237,1129,0,,1129,0,TRUE,,,,
238,1130,1,,1130,1,TRUE,,,,
239,1131,1,,1131,1,TRUE,,,,
240,1132,1,,1132,1,TRUE,,,,
241,1133,1,,1133,1,TRUE,,,,
242,1134,0,,1134,0,TRUE,,,,
243,1135,0,,1135,0,TRUE,,,,
244,1136,0,,1136,0,TRUE,,,,
245,1137,0,,1137,0,TRUE,,,,
246,1138,1,,1138,1,TRUE,,,,
247,1139,0,,1139,0,TRUE,,,,
248,1140,1,,1140,1,TRUE,,,,
249,1141,1,,1141,1,TRUE,,,,
250,1142,1,,1142,1,TRUE,,,,
251,1143,0,,1143,0,TRUE,,,,
252,1144,1,,1144,0,FALSE,,,,
253,1145,0,,1145,0,TRUE,,,,
254,1146,0,,1146,0,TRUE,,,,
255,1147,0,,1147,0,TRUE,,,,
256,1148,0,,1148,0,TRUE,,,,
257,1149,0,,1149,0,TRUE,,,,
258,1150,1,,1150,1,TRUE,,,,
259,1151,0,,1151,0,TRUE,,,,
260,1152,0,,1152,0,TRUE,,,,
261,1153,0,,1153,0,TRUE,,,,
262,1154,1,,1154,1,TRUE,,,,
263,1155,1,,1155,1,TRUE,,,,
264,1156,0,,1156,0,TRUE,,,,
265,1157,0,,1157,0,TRUE,,,,
266,1158,0,,1158,0,TRUE,,,,
267,1159,0,,1159,0,TRUE,,,,
268,1160,1,,1160,1,TRUE,,,,
269,1161,0,,1161,0,TRUE,,,,
270,1162,0,,1162,0,TRUE,,,,
271,1163,0,,1163,0,TRUE,,,,
272,1164,1,,1164,1,TRUE,,,,
273,1165,1,,1165,1,TRUE,,,,
274,1166,0,,1166,0,TRUE,,,,
275,1167,1,,1167,1,TRUE,,,,
276,1168,0,,1168,0,TRUE,,,,
277,1169,0,,1169,0,TRUE,,,,
278,1170,0,,1170,0,TRUE,,,,
279,1171,0,,1171,0,TRUE,,,,
280,1172,1,,1172,1,TRUE,,,,
281,1173,0,,1173,0,TRUE,,,,
282,1174,1,,1174,1,TRUE,,,,
283,1175,1,,1175,1,TRUE,,,,
284,1176,1,,1176,1,TRUE,,,,
285,1177,0,,1177,0,TRUE,,,,
286,1178,0,,1178,0,TRUE,,,,
287,1179,0,,1179,0,TRUE,,,,
288,1180,0,,1180,0,TRUE,,,,
289,1181,0,,1181,0,TRUE,,,,
290,1182,0,,1182,0,TRUE,,,,
291,1183,1,,1183,1,TRUE,,,,
292,1184,0,,1184,0,TRUE,,,,
293,1185,0,,1185,0,TRUE,,,,
294,1186,0,,1186,0,TRUE,,,,
295,1187,0,,1187,0,TRUE,,,,
296,1188,1,,1188,1,TRUE,,,,
297,1189,0,,1189,0,TRUE,,,,
298,1190,0,,1190,0,TRUE,,,,
299,1191,0,,1191,0,TRUE,,,,
300,1192,0,,1192,0,TRUE,,,,
301,1193,0,,1193,0,TRUE,,,,
302,1194,0,,1194,0,TRUE,,,,
303,1195,0,,1195,0,TRUE,,,,
304,1196,1,,1196,1,TRUE,,,,
305,1197,1,,1197,1,TRUE,,,,
306,1198,0,,1198,0,TRUE,,,,
307,1199,0,,1199,0,TRUE,,,,
308,1200,0,,1200,0,TRUE,,,,
309,1201,0,,1201,1,FALSE,,,,
310,1202,0,,1202,0,TRUE,,,,
311,1203,0,,1203,0,TRUE,,,,
312,1204,0,,1204,0,TRUE,,,,
313,1205,1,,1205,1,TRUE,,,,
314,1206,1,,1206,1,TRUE,,,,
315,1207,1,,1207,1,TRUE,,,,
316,1208,0,,1208,0,TRUE,,,,
317,1209,0,,1209,0,TRUE,,,,
318,1210,0,,1210,0,TRUE,,,,
319,1211,0,,1211,0,TRUE,,,,
320,1212,0,,1212,0,TRUE,,,,
321,1213,0,,1213,0,TRUE,,,,
322,1214,0,,1214,0,TRUE,,,,
323,1215,0,,1215,0,TRUE,,,,
324,1216,1,,1216,1,TRUE,,,,
325,1217,0,,1217,0,TRUE,,,,
326,1218,1,,1218,1,TRUE,,,,
327,1219,0,,1219,0,TRUE,,,,
328,1220,0,,1220,0,TRUE,,,,
329,1221,0,,1221,0,TRUE,,,,
330,1222,1,,1222,1,TRUE,,,,
331,1223,0,,1223,0,TRUE,,,,
332,1224,0,,1224,0,TRUE,,,,
333,1225,1,,1225,1,TRUE,,,,
334,1226,0,,1226,0,TRUE,,,,
335,1227,0,,1227,0,TRUE,,,,
336,1228,0,,1228,0,TRUE,,,,
337,1229,0,,1229,0,TRUE,,,,
338,1230,0,,1230,0,TRUE,,,,
339,1231,0,,1231,0,TRUE,,,,
340,1232,0,,1232,0,TRUE,,,,
341,1233,0,,1233,0,TRUE,,,,
342,1234,0,,1234,0,TRUE,,,,
343,1235,1,,1235,1,TRUE,,,,
344,1236,0,,1236,0,TRUE,,,,
345,1237,1,,1237,1,TRUE,,,,
346,1238,0,,1238,0,TRUE,,,,
347,1239,1,,1239,1,TRUE,,,,
348,1240,0,,1240,0,TRUE,,,,
349,1241,1,,1241,1,TRUE,,,,
350,1242,1,,1242,1,TRUE,,,,
351,1243,0,,1243,0,TRUE,,,,
352,1244,0,,1244,0,TRUE,,,,
353,1245,0,,1245,0,TRUE,,,,
354,1246,1,,1246,1,TRUE,,,,
355,1247,0,,1247,0,TRUE,,,,
356,1248,1,,1248,1,TRUE,,,,
357,1249,0,,1249,0,TRUE,,,,
358,1250,0,,1250,0,TRUE,,,,
359,1251,0,,1251,1,FALSE,,,,
360,1252,0,,1252,0,TRUE,,,,
361,1253,1,,1253,1,TRUE,,,,
362,1254,1,,1254,1,TRUE,,,,
363,1255,0,,1255,0,TRUE,,,,
364,1256,1,,1256,1,TRUE,,,,
365,1257,0,,1257,1,FALSE,,,,
366,1258,0,,1258,0,TRUE,,,,
367,1259,1,,1259,1,TRUE,,,,
368,1260,1,,1260,1,TRUE,,,,
369,1261,0,,1261,0,TRUE,,,,
370,1262,0,,1262,0,TRUE,,,,
371,1263,1,,1263,1,TRUE,,,,
372,1264,0,,1264,0,TRUE,,,,
373,1265,0,,1265,0,TRUE,,,,
374,1266,1,,1266,1,TRUE,,,,
375,1267,1,,1267,1,TRUE,,,,
376,1268,0,,1268,1,FALSE,,,,
377,1269,0,,1269,0,TRUE,,,,
378,1270,0,,1270,0,TRUE,,,,
379,1271,0,,1271,0,TRUE,,,,
380,1272,0,,1272,0,TRUE,,,,
381,1273,0,,1273,0,TRUE,,,,
382,1274,1,,1274,1,TRUE,,,,
383,1275,1,,1275,1,TRUE,,,,
384,1276,0,,1276,0,TRUE,,,,
385,1277,1,,1277,1,TRUE,,,,
386,1278,0,,1278,0,TRUE,,,,
387,1279,0,,1279,0,TRUE,,,,
388,1280,0,,1280,0,TRUE,,,,
389,1281,0,,1281,0,TRUE,,,,
390,1282,1,,1282,0,FALSE,,,,
391,1283,1,,1283,1,TRUE,,,,
392,1284,0,,1284,0,TRUE,,,,
393,1285,0,,1285,0,TRUE,,,,
394,1286,0,,1286,0,TRUE,,,,
395,1287,1,,1287,1,TRUE,,,,
396,1288,0,,1288,0,TRUE,,,,
397,1289,1,,1289,1,TRUE,,,,
398,1290,0,,1290,0,TRUE,,,,
399,1291,0,,1291,0,TRUE,,,,
400,1292,1,,1292,1,TRUE,,,,
401,1293,0,,1293,0,TRUE,,,,
402,1294,1,,1294,1,TRUE,,,,
403,1295,1,,1295,0,FALSE,,,,
404,1296,0,,1296,0,TRUE,,,,
405,1297,0,,1297,0,TRUE,,,,
406,1298,0,,1298,0,TRUE,,,,
407,1299,0,,1299,0,TRUE,,,,
408,1300,1,,1300,1,TRUE,,,,
409,1301,1,,1301,1,TRUE,,,,
410,1302,1,,1302,1,TRUE,,,,
411,1303,1,,1303,1,TRUE,,,,
412,1304,1,,1304,1,TRUE,,,,
413,1305,0,,1305,0,TRUE,,,,
414,1306,1,,1306,1,TRUE,,,,
415,1307,0,,1307,0,TRUE,,,,
416,1308,0,,1308,0,TRUE,,,,
417,1309,0,,1309,0,TRUE,,,,
